Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
3870,0.71,Ideal,E,VS2,61.8,57.0,5.69,5.74,3.53,3301
26160,0.29,Ideal,G,VVS2,61.4,57.0,4.27,4.3,2.63,607
24287,0.54,Ideal,G,VS1,61.4,57.0,5.23,5.2,3.2,1684
7175,2.01,Ideal,J,SI2,62.9,54.0,8.03,8.07,5.06,12565
24385,0.3,Ideal,E,VVS2,61.6,58.0,4.28,4.33,2.65,766
23799,0.32,Ideal,I,VS1,60.9,56.0,4.44,4.46,2.71,505
493,0.7,Very Good,G,VVS2,60.8,57.0,5.72,5.76,3.49,2931
19486,1.12,Premium,E,SI2,61.1,58.0,6.73,6.69,4.1,5620
11687,0.7,Very Good,H,VVS1,63.5,58.0,5.63,5.59,3.56,2682
16173,0.3,Ideal,E,VS2,62.3,56.0,4.34,4.3,2.69,844
757,2.11,Premium,H,VS2,60.8,61.0,8.32,8.28,5.05,16395
12555,1.0,Premium,F,SI1,61.6,60.0,6.31,6.41,3.9,5197
10237,0.47,Ideal,G,IF,62.1,54.0,4.99,5.02,3.11,1814
18505,1.32,Very Good,I,SI2,61.2,58.0,7.12,7.06,4.34,6300
2435,1.0,Premium,F,VS2,62.6,60.0,6.37,6.29,3.96,6468
18712,1.14,Premium,F,SI1,59.6,58.0,6.8,6.78,4.05,6033
18724,0.9,Fair,J,SI2,66.6,54.0,6.05,5.99,4.01,2536
12005,0.3,Very Good,H,VVS1,61.3,61.0,4.26,4.29,2.62,684
7190,0.3,Premium,F,VS2,60.7,58.0,4.32,4.35,2.63,605
9320,0.54,Premium,G,SI1,61.6,58.0,5.26,5.21,3.23,1439
13761,0.31,Ideal,F,VS2,61.3,57.0,4.34,4.3,2.65,802
7517,1.03,Premium,E,SI2,61.8,59.0,6.47,6.42,3.98,4845
13606,0.31,Ideal,E,SI1,62.4,57.0,4.31,4.34,2.7,544
13545,0.32,Ideal,I,VS2,60.3,56.0,4.45,4.44,2.68,576
20981,0.31,Ideal,E,VVS2,59.7,61.0,4.4,4.41,2.63,755
11446,0.42,Ideal,F,VVS2,61.6,56.0,4.85,4.83,2.98,1221
3730,1.02,Ideal,F,VS1,61.0,56.0,6.54,6.5,3.98,7654
12031,0.9,Good,I,VVS1,63.6,58.0,6.14,6.1,3.89,4114
4890,0.24,Very Good,D,VVS2,62.9,59.0,3.95,3.97,2.49,492
2903,0.41,Very Good,D,VVS1,62.7,56.0,4.74,4.77,2.98,1349
18890,1.51,Good,D,SI2,62.1,60.0,7.25,7.3,4.52,9069
20107,1.5,Good,I,SI1,64.0,60.0,7.13,7.25,4.6,8580
24299,0.33,Very Good,I,VVS1,58.9,61.0,4.52,4.55,2.67,609
4060,0.27,Very Good,F,VVS2,61.8,57.0,4.15,4.17,2.57,682
18224,1.2,Good,I,SI1,62.3,58.0,6.66,6.72,4.17,5211
9746,0.53,Ideal,E,SI1,61.4,56.0,5.2,5.26,3.21,1564
25003,0.35,Very Good,D,SI1,63.3,57.0,4.53,4.51,2.86,827
7315,0.34,Premium,D,SI1,61.2,58.0,4.47,4.49,2.74,626
24481,0.32,Ideal,G,VS1,61.6,56.0,4.42,4.38,2.71,828
5669,0.7,Ideal,I,VS2,61.4,56.0,5.72,5.75,3.52,2270
14636,0.53,Ideal,F,VS2,62.3,55.0,5.17,5.2,3.23,1566
16961,0.73,Ideal,H,SI1,62.9,56.0,5.79,5.75,3.63,2269
5579,0.32,Good,F,SI2,63.8,55.0,4.34,4.35,2.77,421
8252,0.81,Ideal,E,SI1,61.3,57.0,6.08,6.03,3.71,3338
9410,1.01,Premium,E,VS2,59.5,60.0,6.3,6.24,3.73,5882
20285,0.3,Premium,F,VVS2,61.6,58.0,4.28,4.35,2.66,737
18863,1.0,Very Good,G,SI2,,60.0,6.31,6.36,3.95,4142
19534,1.51,Very Good,G,SI2,63.1,58.0,7.23,7.19,4.55,7154
24433,0.7,Very Good,G,SI1,63.3,61.0,5.6,5.55,3.53,2184
21146,0.52,Premium,G,VS2,62.1,58.0,5.18,5.15,3.21,1577
11512,0.3,Ideal,E,VS2,62.0,55.0,4.3,4.25,2.65,844
5610,1.55,Premium,I,SI1,62.5,60.0,7.35,7.33,4.59,9027
26161,1.3,Very Good,I,VS2,62.7,57.0,6.88,6.9,4.32,6290
17025,0.44,Good,F,SI1,63.8,54.0,4.8,4.85,3.08,756
20060,1.24,Ideal,D,VVS2,62.6,55.0,6.89,6.94,4.33,13803
15798,1.03,Premium,G,VS2,62.3,57.0,6.51,6.43,4.03,6146
1786,0.55,Ideal,E,VS2,61.5,57.0,5.25,5.29,3.24,1665
14044,1.02,Good,F,SI2,63.3,61.0,6.28,6.32,3.99,3811
20337,1.52,Ideal,E,VS2,62.2,57.0,7.34,7.38,4.58,15239
23061,0.56,Premium,F,SI1,60.8,58.0,5.31,5.34,3.24,1436
23468,1.02,Premium,I,SI1,60.2,60.0,6.45,6.39,3.87,3713
3242,1.01,Ideal,I,VS2,61.3,53.0,6.52,6.54,4.0,4887
21360,2.54,Ideal,G,SI2,62.7,56.0,8.75,8.67,5.46,17339
26082,1.12,Premium,J,SI2,60.7,61.0,6.71,6.64,4.05,3266
26623,1.0,Very Good,F,SI2,62.9,59.0,6.3,6.39,3.99,4081
12534,0.72,Ideal,E,SI1,62.1,57.0,5.71,5.75,3.56,2608
17715,0.77,Ideal,F,SI1,61.3,56.0,5.91,5.94,3.63,2717
16022,0.71,Good,F,SI2,63.6,60.0,5.64,5.61,3.58,2072
11863,0.6,Ideal,F,VS1,62.9,57.0,5.35,5.31,3.35,2142
23379,1.01,Ideal,F,SI2,62.4,56.0,6.44,6.38,4.0,3733
21028,0.9,Very Good,G,VS1,62.7,56.0,6.1,6.14,3.84,4780
19762,3.04,Premium,I,SI2,59.3,60.0,9.51,9.46,5.62,18559
19422,0.31,Ideal,G,VVS2,60.0,58.0,4.38,4.42,2.64,661
22737,1.4,Ideal,G,VVS1,60.8,57.0,7.21,7.23,4.39,15134
10088,0.81,Ideal,F,VS1,61.8,55.0,5.97,6.03,3.71,4270
16756,0.37,Ideal,J,VS1,62.4,55.0,4.59,4.64,2.88,487
24891,0.91,Ideal,E,SI1,61.0,58.0,6.23,6.29,3.82,4132
25233,0.4,Very Good,G,SI1,60.0,63.0,4.76,4.8,2.87,702
18856,0.56,Ideal,E,VS1,61.0,57.0,5.32,5.34,3.25,1978
8897,0.7,Ideal,I,VS2,62.5,54.0,5.68,5.71,3.56,2390
8138,0.42,Ideal,G,VVS2,62.7,56.0,4.74,4.77,2.98,1031
9586,0.32,Ideal,E,VS1,61.9,56.0,4.42,4.47,2.75,707
13009,0.53,Ideal,G,VVS2,61.4,57.0,5.17,5.2,3.18,2250
8703,0.72,Ideal,F,SI2,,57.0,5.74,5.79,3.57,2058
